feature,coefficient,abs_coefficient,direction
admission_urgency_emergency,1.0409836218036541,1.0409836218036541,positive
surgery_type_cardiac,0.7511474250708832,0.7511474250708832,positive
sofa_score,0.2989570215035879,0.2989570215035879,positive
surgery_type_orthopaedic,-0.23235235914595986,0.23235235914595986,negative
age,0.1168767600534377,0.1168767600534377,positive
icu_creatinine,0.11145831353889277,0.11145831353889277,positive
asa_class,0.0885601884229668,0.0885601884229668,positive
hr_mean,0.08851136554704053,0.08851136554704053,positive
transfused,0.07950350729131583,0.07950350729131583,positive
spo2_mean,-0.07911197011107869,0.07911197011107869,negative
sex_M,-0.07575310228745824,0.07575310228745824,negative
surgery_type_vascular,-0.0725327498591627,0.0725327498591627,negative
icu_lactate,0.06323995907054268,0.06323995907054268,positive
preop_creatinine,0.0626142208284645,0.0626142208284645,positive
icu_wbc,0.06185705988084334,0.06185705988084334,positive
sbp_mean,-0.05986852268723678,0.05986852268723678,negative
rr_std,0.050810528579765105,0.050810528579765105,positive
spo2_min,-0.050779670450449926,0.050779670450449926,negative
temp_mean,0.04784470516049765,0.04784470516049765,positive
has_diabetes,0.04286457438367406,0.04286457438367406,positive
icu_bilirubin,-0.037591581549534715,0.037591581549534715,negative
rr_mean,0.037444536339313335,0.037444536339313335,positive
preop_wbc,-0.030976837440914087,0.030976837440914087,negative
hr_std,0.024256827163078983,0.024256827163078983,positive
blood_loss_imputed,-0.02313269467311082,0.02313269467311082,negative
has_hypertension,0.02255065813710965,0.02255065813710965,positive
preop_lactate,0.017907398167448397,0.017907398167448397,positive
blood_loss_missing,0.0017126618517795899,0.0017126618517795899,positive
note_risk_score_missing,0.0,0.0,positive
note_risk_score_imputed,0.0,0.0,positive
has_notes,0.0,0.0,positive
op_duration_h,0.0,0.0,positive
