group_col,group_value,n,positives,sensitivity,sensitivity_gap_vs_overall
age_band,65_to_74,240,105,0.780952380952381,-0.00952380952380949
age_band,75_plus,173,72,0.9027777777777778,0.11230158730158735
age_band,under_65,587,243,0.7613168724279835,-0.029159318048206928
sex,F,469,185,0.827027027027027,0.036550836550836574
sex,M,531,235,0.7617021276595745,-0.028774062816615986
admission_urgency,elective,766,269,0.6765799256505576,-0.11389626482563286
admission_urgency,emergency,234,151,0.9933774834437086,0.20290129296751813
surgery_type,abdominal,340,128,0.75,-0.04047619047619044
surgery_type,cardiac,202,155,1.0,0.20952380952380956
surgery_type,orthopaedic,250,60,0.26666666666666666,-0.5238095238095237
surgery_type,vascular,208,77,0.8441558441558441,0.05367965367965366
has_notes,0,336,180,0.8888888888888888,0.0984126984126984
has_notes,1,664,240,0.7166666666666667,-0.07380952380952377
sofa_quartile,q1_lowest,250,70,0.3142857142857143,-0.47619047619047616
sofa_quartile,q2,250,78,0.6538461538461539,-0.1366300366300366
sofa_quartile,q3,250,120,0.9083333333333333,0.11785714285714288
sofa_quartile,q4_highest,250,152,0.9868421052631579,0.1963659147869674
