feature,feature_label,model_component,auroc_drop_mean,auroc_drop_std,brier_increase_mean,brier_increase_std,importance_score
lactate_slope,Lactate slope,final_t24_risk,0.10176190476190479,0.009887331511556786,0.04641205498820666,0.003861136416374526,0.14817395975011144
spo2_min,SpO2 minimum,final_t24_risk,0.034348111658456505,0.0022565445085542825,0.019524597845806672,0.001488600723911683,0.05387270950426318
admission_urgency,Admission urgency,final_t24_risk,0.016025451559934335,0.00425346582786623,0.01022464243648985,0.002678625426941086,0.026250093996424185
sofa_score,SOFA score,final_t24_risk,0.016147783251231562,0.005183617417720994,0.010049611095114397,0.002721940985663108,0.026197394346345958
rr_std,Respiratory rate variability,final_t24_risk,0.015074712643678257,0.0019413412624547327,0.006793076791587233,0.001023237425230403,0.02186778943526549
lactate_rolling_mean,Rolling lactate mean,final_t24_risk,0.013020525451559939,0.0020568909658574665,0.008162651633142504,0.0018041630401231105,0.021183177084702444
icu_lactate,ICU lactate,final_t24_risk,0.007270935960591207,0.001978591186530124,0.0035241371419276746,0.0015853389233049348,0.010795073102518881
spo2_mean,SpO2 mean,final_t24_risk,0.0053481116584565,0.0011745621102295814,0.0033302111671186184,0.0007586796954711806,0.00867832282557512
surgery_type,Surgery type,final_t24_risk,0.004326765188834192,0.002573022666358392,0.0036727269529910123,0.0014774427922784022,0.007999492141825205
hr_std,Heart rate variability,final_t24_risk,0.003971264367816118,0.0007406684206631692,0.001739437500616503,0.0003960179422493102,0.005710701868432621
rr_mean,Respiratory rate mean,final_t24_risk,0.002743021346469643,0.0008684236811807092,0.0015486606633413947,0.00048578763301474924,0.004291682009811037
hr_mean,Heart rate mean,final_t24_risk,0.001913793103448258,0.0007218397154598282,0.001806524614988142,0.0004928972303666706,0.0037203177184363997
sbp_mean,Systolic BP mean,final_t24_risk,0.001971264367816139,0.0005099004707604669,0.0014893676467408578,0.00024822428335940713,0.003460632014556997
blood_loss_imputed,Blood loss,final_t24_risk,0.0014055829228243112,0.0007372202758927278,0.001410709381534181,0.0004975299485205509,0.002816292304358492
icu_bilirubin,ICU bilirubin,final_t24_risk,0.0015977011494253458,0.0006305632522373453,0.0006046180893777176,0.0004021699820154417,0.0022023192388030636
preop_lactate,Pre-op lactate,final_t24_risk,0.001090311986863779,0.0013968979954126614,0.0009157903674139045,0.0006538909850209764,0.0020061023542776836
age,Age,final_t24_risk,0.0013752052545156434,0.0013464270688938738,0.0005130225046607595,0.0005534696007505988,0.0018882277591764029
temp_mean,Temperature mean,final_t24_risk,0.0009901477832512605,0.0015868187174865212,0.0005311108215000527,0.0009443559563161245,0.0015212586047513132
asa_class,ASA class,final_t24_risk,0.0007356321839080638,0.0009562072787713182,0.0005565274328144743,0.0004864159114977592,0.001292159616722538
lactate_rolling_max,Rolling lactate max,final_t24_risk,0.0006666666666667043,0.0012854888267594517,0.0004262994765358408,0.000816788157117179,0.001092966143202545
op_duration_h,Operation duration,final_t24_risk,0.0004646962233169738,0.00030854771984650396,0.00028422514655759845,0.00013977205745205752,0.0007489213698745722
transfused,Transfused,final_t24_risk,0.0001502463054187997,0.0007066986596252589,0.00015349284829414,0.00047154116975071193,0.0003037391537129397
has_notes,Clinical note present,final_t24_risk,0.00019786535303778496,0.0001998365384731829,7.24151303733933e-05,9.198901390448885e-05,0.0002702804834111783
blood_loss_missing,Blood loss missing,final_t24_risk,5.090311986868379e-05,7.094090173147322e-05,5.8655501880111593e-05,6.808006739575202e-05,0.00010955862174879538
preop_wbc,Pre-op WBC,final_t24_risk,2.7093596059124536e-05,0.001213820714753631,-0.00018449623962301097,0.0008701964553465958,2.7093596059124536e-05
has_diabetes,Diabetes,final_t24_risk,-2.2167487684665586e-05,0.0006004252777441346,-6.2369076161694625e-06,0.00032047500232856515,0.0
sex,Sex,final_t24_risk,-2.545155993431969e-05,0.00016574400631103725,-1.480721242471672e-05,7.726472706077638e-05,0.0
has_hypertension,Hypertension,final_t24_risk,-0.0005049261083743151,0.00018723892480810992,-0.000272082953097863,0.00012665933589158163,0.0
preop_creatinine,Pre-op creatinine,final_t24_risk,-0.0010320197044334067,0.0004879818084166244,-0.0007147604243465833,0.00034794041309953747,0.0
icu_wbc,ICU WBC,final_t24_risk,-0.0010853858784892977,0.0017504782840695261,-0.0008793057991284048,0.001077414461059459,0.0
icu_creatinine,ICU creatinine,final_t24_risk,-0.0029729064039409002,0.0012818045733414736,-0.0016813086040888658,0.0007107089277447159,0.0
