feature,feature_label,model_component,route,n_route,auroc_drop_mean,auroc_drop_std,brier_increase_mean,brier_increase_std,importance_score
lactate_slope,Lactate slope,E2_no_notes_expert,no_notes,336,0.05761396011396014,0.014229040188815593,0.029751138683782763,0.007553213851562991,0.0873650987977429
spo2_min,SpO2 minimum,E2_no_notes_expert,no_notes,336,0.031339031339031286,0.005425181461599554,0.019449565728399475,0.0019558712654556072,0.05078859706743076
rr_std,Respiratory rate variability,E2_no_notes_expert,no_notes,336,0.01868945868945866,0.003446984399040463,0.010195475225996153,0.0018449031527479978,0.02888493391545481
spo2_mean,SpO2 mean,E2_no_notes_expert,no_notes,336,0.014836182336182247,0.0024025769573332726,0.008391274109449742,0.0013973774028581659,0.02322745644563199
admission_urgency,Admission urgency,E2_no_notes_expert,no_notes,336,0.014722222222222215,0.008589684530609178,0.005798803504907024,0.004685802340406462,0.020521025727129237
lactate_rolling_mean,Rolling lactate mean,E2_no_notes_expert,no_notes,336,0.012343304843304814,0.006749514138393515,0.006890052278664993,0.0032850953814386207,0.01923335712196981
icu_lactate,ICU lactate,E2_no_notes_expert,no_notes,336,0.008034188034187983,0.0013033604209053999,0.0045075905317571606,0.0012421568316931275,0.012541778565945145
surgery_type,Surgery type,E2_no_notes_expert,no_notes,336,0.0051566951566951015,0.005067922834054715,0.0035732075160560704,0.002449561096123359,0.008729902672751172
icu_bilirubin,ICU bilirubin,E2_no_notes_expert,no_notes,336,0.004344729344729315,0.0019835894620612417,0.0039161605132968565,0.0007773099771062235,0.008260889858026171
sofa_score,SOFA score,E2_no_notes_expert,no_notes,336,0.0037037037037036535,0.003843580969132425,0.0045487791399981825,0.0023089969666519865,0.008252482843701836
sbp_mean,Systolic BP mean,E2_no_notes_expert,no_notes,336,0.0047578347578347115,0.001770569890192799,0.003262828306626525,0.0009709984483512316,0.008020663064461236
lactate_rolling_max,Rolling lactate max,E2_no_notes_expert,no_notes,336,0.003148148148148122,0.0021580843978953918,0.003435933387180329,0.0012041118750999338,0.006584081535328451
hr_std,Heart rate variability,E2_no_notes_expert,no_notes,336,0.004024216524216517,0.001785321446527091,0.002504400952023056,0.0010964928753539442,0.0065286174762395725
age,Age,E2_no_notes_expert,no_notes,336,0.003340455840455814,0.00425943791371784,0.0009531704023998111,0.0031208488900579573,0.0042936262428556245
has_diabetes,Diabetes,E2_no_notes_expert,no_notes,336,0.00248575498575494,0.000868361860634009,0.001515289797336089,0.00041049420954007455,0.004001044783091029
sex,Sex,E2_no_notes_expert,no_notes,336,0.001445868945868911,0.00013811053724830202,0.0007621015871427606,0.000103187314631039,0.0022079705330116718
op_duration_h,Operation duration,E2_no_notes_expert,no_notes,336,0.0007834757834757511,0.003285553167983441,0.00136457759684952,0.0013636715949156986,0.002148053380325271
blood_loss_imputed,Blood loss,E2_no_notes_expert,no_notes,336,0.000747863247863223,0.002449769732467226,0.0012545645860587984,0.0014087984482958553,0.0020024278339220215
preop_wbc,Pre-op WBC,E2_no_notes_expert,no_notes,336,0.0008119658119657869,0.0017112407012052535,0.0007497614976720079,0.0008757062701789305,0.0015617273096377947
transfused,Transfused,E2_no_notes_expert,no_notes,336,-0.0007051282051282248,0.0021524117534809767,0.0011186713781505264,0.0012026136196111458,0.0011186713781505264
hr_mean,Heart rate mean,E2_no_notes_expert,no_notes,336,0.00014245014245011233,0.0025278378838786827,0.0008497145616646551,0.0011584588886934524,0.0009921647041147674
blood_loss_missing,Blood loss missing,E2_no_notes_expert,no_notes,336,0.0005056980056979077,0.00026208503551243816,1.8588019244508702e-05,0.00011205401430277584,0.0005242860249424164
temp_mean,Temperature mean,E2_no_notes_expert,no_notes,336,-0.001531339031339085,0.0023865182154386316,0.0002215258285495625,0.0013820446648173934,0.0002215258285495625
preop_creatinine,Pre-op creatinine,E2_no_notes_expert,no_notes,336,0.00020655270655265401,0.0025580016053333154,-0.000195030817034475,0.0016413114517293012,0.00020655270655265401
has_notes,Clinical note present,E2_no_notes_expert,no_notes,336,0.0,0.0,0.0,0.0,0.0
has_hypertension,Hypertension,E2_no_notes_expert,no_notes,336,-7.122507122514499e-06,0.00017064314174805679,-0.00026983638748241944,9.210002074131736e-05,0.0
preop_lactate,Pre-op lactate,E2_no_notes_expert,no_notes,336,-5.698005698011599e-05,0.0024920226454523665,-0.00021705706404917535,0.001496159520597535,0.0
asa_class,ASA class,E2_no_notes_expert,no_notes,336,-0.0007407407407407973,0.0006983689966812196,-9.351060003133793e-05,0.0002899749503930351,0.0
rr_mean,Respiratory rate mean,E2_no_notes_expert,no_notes,336,-0.0011182336182336216,0.0008206661379392625,-0.00039531280450603166,0.00032113555081621274,0.0
icu_wbc,ICU WBC,E2_no_notes_expert,no_notes,336,-0.0023361823361823797,0.0033147294170887457,-0.0006748544702423531,0.0018232731600997458,0.0
icu_creatinine,ICU creatinine,E2_no_notes_expert,no_notes,336,-0.0034188034188034067,0.004918141453456367,-0.002325428894190196,0.00301266368579659,0.0
