feature,feature_label,quantile,quantile_label,grid_value,mean_predicted_risk
lactate_slope,Lactate slope,0.05,p05,-0.07399195652173914,0.22515510481691176
lactate_slope,Lactate slope,0.25,p25,-0.047395652173913054,0.31275682574151326
lactate_slope,Lactate slope,0.5,p50,-0.0006065217391304352,0.4668039305852431
lactate_slope,Lactate slope,0.75,p75,0.039170652173913044,0.5797461549364339
lactate_slope,Lactate slope,0.95,p95,0.12330543478260866,0.486755120074234
spo2_min,SpO2 minimum,0.05,p05,92.6,0.537839431705846
spo2_min,SpO2 minimum,0.25,p25,94.875,0.51119880777686
spo2_min,SpO2 minimum,0.5,p50,96.1,0.4450291671833794
spo2_min,SpO2 minimum,0.75,p75,97.0,0.38090794406335354
spo2_min,SpO2 minimum,0.95,p95,98.505,0.3767549262304526
sofa_score,SOFA score,0.05,p05,1.0,0.3271301882373086
sofa_score,SOFA score,0.25,p25,4.0,0.4027331154434833
sofa_score,SOFA score,0.5,p50,7.0,0.4453995707600816
sofa_score,SOFA score,0.75,p75,9.0,0.4907562932119854
sofa_score,SOFA score,0.95,p95,12.049999999999955,0.591802785115153
rr_std,Respiratory rate variability,0.05,p05,0.8892158269244785,0.4077641856761074
rr_std,Respiratory rate variability,0.25,p25,1.16574850568443,0.4077641856761074
rr_std,Respiratory rate variability,0.5,p50,1.4742876858843543,0.45260938847890003
rr_std,Respiratory rate variability,0.75,p75,1.8630859908307285,0.47099946647982716
rr_std,Respiratory rate variability,0.95,p95,2.2809998048177658,0.4725792910773677
lactate_rolling_mean,Rolling lactate mean,0.05,p05,0.7932291666666669,0.406836928917023
lactate_rolling_mean,Rolling lactate mean,0.25,p25,1.387604166666667,0.42070515527448893
lactate_rolling_mean,Rolling lactate mean,0.5,p50,2.154166666666667,0.43159951546710734
lactate_rolling_mean,Rolling lactate mean,0.75,p75,3.1021875000000003,0.5029750040487087
lactate_rolling_mean,Rolling lactate mean,0.95,p95,4.2472916666666665,0.5057293458702145
icu_lactate,ICU lactate,0.05,p05,0.75,0.5091623647907163
icu_lactate,ICU lactate,0.25,p25,1.24,0.43587200335539944
icu_lactate,ICU lactate,0.5,p50,1.9849999999999999,0.43874262198720676
icu_lactate,ICU lactate,0.75,p75,2.85,0.4437664818078898
icu_lactate,ICU lactate,0.95,p95,4.201,0.4165344016794829
