feature,feature_label,model_component,route,n_route,auroc_drop_mean,auroc_drop_std,brier_increase_mean,brier_increase_std,importance_score
lactate_slope,Lactate slope,E1_with_notes_expert,with_notes,664,0.11268081761006292,0.008072636683764792,0.043047910878411,0.002227210671896925,0.1557287284884739
note_text_risk_score,Note text risk score,E1_with_notes_expert,with_notes,664,0.03856525157232708,0.00958466541386726,0.019581903482739138,0.003989250757766841,0.05814715505506622
spo2_min,SpO2 minimum,E1_with_notes_expert,with_notes,664,0.028160377358490595,0.0017627164175060875,0.013656663401834402,0.0008138131247516418,0.041817040760325
sofa_score,SOFA score,E1_with_notes_expert,with_notes,664,0.01773781446540883,0.0038102378422430966,0.007477915080335312,0.001467208885140553,0.025215729545744144
lactate_rolling_mean,Rolling lactate mean,E1_with_notes_expert,with_notes,664,0.008457154088050301,0.0022402953466628584,0.004993675186984825,0.0008352281029737375,0.013450829275035126
admission_urgency,Admission urgency,E1_with_notes_expert,with_notes,664,0.006772798742138386,0.0032434450220760035,0.003998828252870618,0.0015122065891285841,0.010771626995009005
rr_std,Respiratory rate variability,E1_with_notes_expert,with_notes,664,0.00809944968553462,0.002410903781844168,0.002597709805093401,0.0010954244576752918,0.010697159490628022
spo2_mean,SpO2 mean,E1_with_notes_expert,with_notes,664,0.0065546383647798745,0.0003068178779939744,0.0037076335012923125,0.00019794849499047126,0.010262271866072186
rr_mean,Respiratory rate mean,E1_with_notes_expert,with_notes,664,0.005511006289308162,0.0008659270906811999,0.0030205947304625725,0.0005027233629607996,0.008531601019770735
icu_bilirubin,ICU bilirubin,E1_with_notes_expert,with_notes,664,0.004921383647798816,0.001974403552863878,0.0017934975924009111,0.001029565107731836,0.006714881240199727
blood_loss_imputed,Blood loss,E1_with_notes_expert,with_notes,664,0.004943003144654146,0.002533982905981364,0.0017071537717277985,0.0011239421759146183,0.006650156916381944
sbp_mean,Systolic BP mean,E1_with_notes_expert,with_notes,664,0.0033136792452830967,0.0015165189094649646,0.002210777173286943,0.0006453964804249456,0.00552445641857004
icu_lactate,ICU lactate,E1_with_notes_expert,with_notes,664,0.0038246855345912545,0.0016800210538463175,0.0010818856142441435,0.0006160701927187687,0.004906571148835398
preop_creatinine,Pre-op creatinine,E1_with_notes_expert,with_notes,664,0.0030621069182390492,0.001899235861164921,0.001814147823572715,0.0006908396817465244,0.004876254741811764
note_risk_score,Note risk score,E1_with_notes_expert,with_notes,664,0.0031269654088050603,0.0011996305379466594,0.001082282372903315,0.0003580578312954429,0.004209247781708375
temp_mean,Temperature mean,E1_with_notes_expert,with_notes,664,0.0026395440251572476,0.0015399401290775033,0.0011980152899450868,0.0006651678663862443,0.0038375593151023344
hr_std,Heart rate variability,E1_with_notes_expert,with_notes,664,0.0026434748427673236,0.0007559034829598225,0.0009214693875614577,0.0002702763618291169,0.0035649442303287812
