auroc,auprc,brier_score,sensitivity,specificity,ppv,npv,f1,threshold,tp,fp,tn,fn,n_total,n_positive,event_rate,alert_count,manual_review_count,stage,group_col,group_value,sensitivity_gap_vs_overall,auroc_gap_vs_overall,brier_gap_vs_overall,unstable_estimate
0.6719947940430688,0.582392803438984,0.1997210669323653,0.36059479553903345,0.9255533199195171,0.7238805970149254,0.7278481012658228,0.4813895781637717,0.49626415393692785,97,37,460,172,766,269,0.35117493472584854,134,252,t0,admission_urgency,elective,-0.1513099663657284,-0.0518352552180148,-0.0027784282797802817,False
0.6794063671906168,0.7953231651293864,0.21159469205963136,0.7814569536423841,0.3493975903614458,0.686046511627907,0.46774193548387094,0.7306501547987616,0.49626415393692785,118,54,29,33,234,151,0.6452991452991453,172,59,t0,admission_urgency,emergency,0.26955219173762224,-0.044423682070466874,0.009095196847485776,False
0.7036331569664902,0.6790333526015984,0.20858851442849227,0.5428571428571428,0.8296296296296296,0.7125,0.7,0.6162162162162163,0.49626415393692785,57,23,112,48,240,105,0.4375,80,68,t0,age_band,65_to_74,0.030952380952380953,-0.020196892294593427,0.006089019216346692,False
0.7377612761276127,0.6721056841284148,0.1997246264429793,0.6388888888888888,0.7821782178217822,0.6764705882352942,0.7523809523809524,0.6571428571428571,0.49626415393692785,46,22,79,26,173,72,0.4161849710982659,68,64,t0,age_band,75_plus,0.12698412698412698,0.013931226866529034,-0.002774868769166272,False
0.7293401282419371,0.703246220909894,0.20082775361954347,0.4609053497942387,0.8662790697674418,0.7088607594936709,0.6946386946386947,0.5586034912718204,0.49626415393692785,112,46,298,131,587,243,0.41396933560477,158,179,t0,age_band,under_65,-0.05099941211052317,0.005510078980853428,-0.0016717415926021106,False
0.7324430199430199,0.7712046560134955,0.211655722842008,0.65,0.7051282051282052,0.7177914110429447,0.6358381502890174,0.6822157434402333,0.49626415393692785,117,46,110,63,336,180,0.5357142857142857,163,138,t0,has_notes_route,no_notes,0.13809523809523816,0.008612970681936227,0.009156227629862429,False
0.699253144654088,0.6077642536285444,0.19786622339944415,0.4083333333333333,0.8938679245283019,0.6853146853146853,0.727447216890595,0.5117493472584856,0.49626415393692785,98,45,379,142,664,240,0.3614457831325301,143,173,t0,has_notes_route,with_notes,-0.10357142857142854,-0.024576904606995575,-0.004633271812701428,False
0.7190711838599162,0.6429266708515423,0.20204482072685995,0.5027027027027027,0.8380281690140845,0.6690647482014388,0.7212121212121212,0.5740740740740741,0.49626415393692785,93,46,238,92,469,185,0.39445628997867804,139,138,t0,sex,F,-0.009202059202059187,-0.004758865401167434,-0.00045467448528563326,False
0.7288959171937894,0.7198957224053952,0.2029010815277745,0.5191489361702127,0.847972972972973,0.7305389221556886,0.6895604395604396,0.6069651741293532,0.49626415393692785,122,45,251,113,531,235,0.4425612052730697,167,173,t0,sex,M,0.007244174265450876,0.005065867932705803,0.0004015863156289212,False
0.6544442806603773,0.5571040866298096,0.21654422275796906,0.28125,0.9339622641509434,0.72,0.6827586206896552,0.4044943820224719,0.49626415393692785,36,14,198,92,340,128,0.3764705882352941,50,113,t0,surgery_type,abdominal,-0.23065476190476186,-0.06938576860070633,0.014044727545823477,False
