auroc,auprc,brier_score,sensitivity,specificity,ppv,npv,f1,threshold,tp,fp,tn,fn,n_total,n_positive,event_rate,alert_count,manual_review_count,stage,group_col,group_value,sensitivity_gap_vs_overall,auroc_gap_vs_overall,brier_gap_vs_overall,unstable_estimate
0.6336815447926558,0.517077185971318,0.2040203192547482,0.24102564102564103,0.9259259259259259,0.6103896103896104,0.7170172084130019,0.34558823529411764,0.49626415393692785,47,30,375,148,600,195,0.325,77,195,t0,asa_band,asa_1_2,-0.2708791208791208,-0.09014850446842781,0.0015208240426026198,False
0.7504990019960079,0.7678044885899633,0.20068781960965468,0.7303921568627451,0.6706586826347305,0.7303921568627451,0.6706586826347305,0.7303921568627451,0.49626415393692785,149,55,112,55,371,204,0.5498652291105122,204,112,t0,asa_band,asa_3,0.2184873949579832,0.02666895273492431,-0.001811675602490903,False
0.6845238095238095,0.8458169176347903,0.19421112359016426,0.9047619047619048,0.25,0.76,0.5,0.8260869565217391,0.49626415393692785,19,6,2,2,29,21,0.7241379310344828,25,4,t0,asa_band,asa_4_plus,0.3928571428571429,-0.039306239737274096,-0.008288371621981316,True
0.7115588972431077,0.6469724667985882,0.20129195366023622,0.436,0.8721804511278195,0.68125,0.7116564417177914,0.5317073170731708,0.49626415393692785,109,51,348,141,649,250,0.3852080123266564,160,190,t0,blood_loss_missing_label,measured,-0.07590476190476186,-0.012271152017975906,-0.001207541551909358,False
0.7337341566460838,0.7317729884951143,0.2047322429819153,0.6235294117647059,0.7790055248618785,0.726027397260274,0.6878048780487804,0.6708860759493671,0.49626415393692785,106,40,141,64,351,170,0.4843304843304843,146,121,t0,blood_loss_missing_label,missing,0.11162464985994403,0.009904107385000138,0.0022327477697697273,False
0.7181799387070098,0.6722889131340918,0.20245271252342864,0.5103857566765578,0.8340163934426229,0.6798418972332015,0.7115384615384616,0.5830508474576271,0.49626415393692785,172,81,407,165,825,337,0.4084848484848485,253,250,t0,has_diabetes_label,no,-0.001519005228204029,-0.005650110554073828,-4.67826887169398e-05,False
0.752095337873232,0.7459890654131263,0.2027200421732397,0.5180722891566265,0.8913043478260869,0.8113207547169812,0.6721311475409836,0.6323529411764706,0.49626415393692785,43,10,82,40,175,83,0.4742857142857143,53,61,t0,has_diabetes_label,yes,0.006167527251864646,0.028265288612148387,0.0002205469610941091,False
0.7053810337714386,0.6323868429561288,0.20614558301287222,0.4851063829787234,0.8310249307479224,0.6514285714285715,0.7125890736342043,0.5560975609756098,0.49626415393692785,114,61,300,121,596,235,0.39429530201342283,175,187,t0,has_hypertension_label,no,-0.02679837892603848,-0.01844901548964506,0.003646087800726644,False
0.7489324941379735,0.7513729590847344,0.19712061320909344,0.5459459459459459,0.863013698630137,0.7709923664122137,0.6923076923076923,0.6392405063291139,0.49626415393692785,101,30,189,84,404,185,0.45792079207920794,131,124,t0,has_hypertension_label,yes,0.03404118404118406,0.02510244487688984,-0.005378882003052143,False
0.603015873015873,0.40080418428870584,0.1964198516420365,0.08571428571428572,0.9722222222222222,0.5454545454545454,0.7322175732217573,0.14814814814814814,0.49626415393692785,6,5,175,64,250,70,0.28,11,70,t0,sofa_quartile,q1_lowest,-0.4261904761904761,-0.12081417624521062,-0.006079643570109067,False
0.6464669051878353,0.5459462863772405,0.19229889582058793,0.358974358974359,0.9069767441860465,0.6363636363636364,0.7572815533980582,0.45901639344262296,0.49626415393692785,28,16,156,50,250,78,0.312,44,76,t0,sofa_quartile,q2,-0.1529304029304029,-0.07736314407324829,-0.010200599391557652,False
0.7032051282051281,0.68467264569258,0.21733069964370666,0.5416666666666666,0.7923076923076923,0.7065217391304348,0.6518987341772152,0.6132075471698113,0.49626415393692785,65,27,103,55,250,120,0.48,92,99,t0,sofa_quartile,q3,0.029761904761904767,-0.02062492105595548,0.01483120443156108,False
0.7350295381310419,0.8152763184962607,0.2039485337422512,0.7631578947368421,0.5612244897959183,0.7295597484276729,0.6043956043956044,0.7459807073954984,0.49626415393692785,116,43,55,36,250,152,0.608,159,66,t0,sofa_quartile,q4_highest,0.2512531328320803,0.011199488869958252,0.001449038530105612,False
0.7162789373273727,0.6352492395732519,0.19457284924211513,0.458128078817734,0.8728323699421965,0.6788321167883211,0.7330097087378641,0.5470588235294118,0.49626415393692785,93,44,302,110,549,203,0.3697632058287796,137,164,t0,transfused_label,no,-0.05377668308702788,-0.007551111933710941,-0.007926645970030455,False
