n,n_positive,event_rate,brier_score,error_rate,false_negative_rate,false_positive_rate,stage,group_col,group_value
67,49,0.7313432835820896,0.18828947181297664,0.26865671641791045,0.0,1.0,t0,recommended_action,ALERT
239,166,0.694560669456067,0.19741735775018876,0.3054393305439331,0.0,1.0,t0,recommended_action,ALERT + SENIOR REVIEW
311,115,0.36977491961414793,0.23444046671863986,0.36977491961414793,1.0,0.0,t0,recommended_action,MANUAL REVIEW / RECHECK DATA
383,90,0.2349869451697128,0.1822202792399061,0.2349869451697128,1.0,0.0,t0,recommended_action,ROUTINE MONITORING
726,295,0.40633608815426997,0.1904240010805083,0.26170798898071623,0.4847457627118644,0.10904872389791183,t0,threshold_crossed,False
274,125,0.4562043795620438,0.2344951475463378,0.38686131386861317,0.496,0.2953020134228188,t0,threshold_crossed,True
200,58,0.29,0.15608637020113,0.195,0.5517241379310345,0.04929577464788732,t0,u_total_quintile,q1_lowest
200,84,0.42,0.1764373479679049,0.235,0.5119047619047619,0.034482758620689655,t0,u_total_quintile,q2
200,81,0.405,0.2148518361394317,0.31,0.5061728395061729,0.17647058823529413,t0,u_total_quintile,q3
200,96,0.48,0.23239695171961602,0.375,0.5,0.25961538461538464,t0,u_total_quintile,q4
200,101,0.505,0.23272497003264525,0.365,0.40594059405940597,0.32323232323232326,t0,u_total_quintile,q5_highest
69,54,0.782608695652174,0.16786985951899153,0.21739130434782608,0.0,1.0,t6,recommended_action,ALERT
250,183,0.732,0.18015039374166833,0.276,0.0546448087431694,0.8805970149253731,t6,recommended_action,ALERT + SENIOR REVIEW
293,107,0.3651877133105802,0.23557976040835923,0.3924914675767918,0.9813084112149533,0.053763440860215055,t6,recommended_action,MANUAL REVIEW / RECHECK DATA
388,76,0.1958762886597938,0.15086797867433852,0.1958762886597938,1.0,0.0,t6,recommended_action,ROUTINE MONITORING
717,287,0.400278940027894,0.1642724260630056,0.2217573221757322,0.4181184668989547,0.09069767441860466,t6,threshold_crossed,False
283,133,0.46996466431095407,0.2346252112379684,0.4098939929328622,0.5338345864661654,0.3,t6,threshold_crossed,True
200,42,0.21,0.10583833239601366,0.125,0.5238095238095238,0.0189873417721519,t6,u_total_quintile,q1_lowest
200,74,0.37,0.15706045828882612,0.205,0.44594594594594594,0.06349206349206349,t6,u_total_quintile,q2
200,99,0.495,0.19193057444438671,0.25,0.3939393939393939,0.10891089108910891,t6,u_total_quintile,q3
200,101,0.505,0.21277585857852985,0.34,0.43564356435643564,0.24242424242424243,t6,u_total_quintile,q4
200,104,0.52,0.2533060976298441,0.455,0.5096153846153846,0.3958333333333333,t6,u_total_quintile,q5_highest
85,71,0.8352941176470589,0.14549429780601242,0.16470588235294117,0.0,1.0,t12,recommended_action,ALERT
278,202,0.7266187050359713,0.18025069838991045,0.29136690647482016,0.07920792079207921,0.8552631578947368,t12,recommended_action,ALERT + SENIOR REVIEW
280,101,0.3607142857142857,0.22573635035837983,0.35714285714285715,0.9702970297029703,0.0111731843575419,t12,recommended_action,MANUAL REVIEW / RECHECK DATA
357,46,0.12885154061624648,0.11360101498928274,0.12885154061624648,1.0,0.0,t12,recommended_action,ROUTINE MONITORING
716,280,0.39106145251396646,0.13122785711620222,0.1564245810055866,0.275,0.08027522935779817,t12,threshold_crossed,False
284,140,0.49295774647887325,0.25450459233178047,0.45422535211267606,0.5928571428571429,0.3194444444444444,t12,threshold_crossed,True
200,43,0.215,0.09312265654787183,0.105,0.4186046511627907,0.01910828025477707,t12,u_total_quintile,q1_lowest
200,76,0.38,0.10612539953983469,0.115,0.21052631578947367,0.056451612903225805,t12,u_total_quintile,q2
200,98,0.49,0.16442683885351933,0.21,0.29591836734693877,0.12745098039215685,t12,u_total_quintile,q3
200,101,0.505,0.21149110335954865,0.315,0.42574257425742573,0.20202020202020202,t12,u_total_quintile,q4
200,102,0.51,0.25602625128635775,0.46,0.5294117647058824,0.3877551020408163,t12,u_total_quintile,q5_highest
102,88,0.8627450980392157,0.12366192442653859,0.13725490196078433,0.0,1.0,t24,recommended_action,ALERT
309,226,0.7313915857605178,0.18076744212746734,0.3074433656957929,0.08849557522123894,0.9036144578313253,t24,recommended_action,ALERT + SENIOR REVIEW
250,74,0.296,0.20437143947680397,0.288,0.972972972972973,0.0,t24,recommended_action,MANUAL REVIEW / RECHECK DATA
339,32,0.0943952802359882,0.09206079629918622,0.0943952802359882,1.0,0.0,t24,recommended_action,ROUTINE MONITORING
723,290,0.40110650069156295,0.11295362029112499,0.12586445366528354,0.18275862068965518,0.08775981524249422,t24,threshold_crossed,False
277,130,0.4693140794223827,0.2494825207690834,0.4404332129963899,0.5461538461538461,0.3469387755102041,t24,threshold_crossed,True
200,47,0.235,0.07250346909725298,0.075,0.2765957446808511,0.013071895424836602,t24,u_total_quintile,q1_lowest
200,86,0.43,0.09425423898214387,0.1,0.13953488372093023,0.07017543859649122,t24,u_total_quintile,q2
200,89,0.445,0.1325471327807777,0.155,0.20224719101123595,0.11711711711711711,t24,u_total_quintile,q3
200,100,0.5,0.20522754159184095,0.305,0.34,0.27,t24,u_total_quintile,q4
200,98,0.49,0.24932824616558186,0.43,0.47959183673469385,0.38235294117647056,t24,u_total_quintile,q5_highest
