feature,coefficient,abs_coefficient,direction
admission_urgency_emergency,1.0422165675135533,1.0422165675135533,positive
surgery_type_cardiac,0.7482596346701338,0.7482596346701338,positive
sofa_score,0.301538576948927,0.301538576948927,positive
surgery_type_orthopaedic,-0.25758332014142044,0.25758332014142044,negative
surgery_type_vascular,-0.12816051482687235,0.12816051482687235,negative
age,0.11928970824639538,0.11928970824639538,positive
icu_creatinine,0.11637378262700719,0.11637378262700719,positive
asa_class,0.09310754340845533,0.09310754340845533,positive
sex_M,-0.08874785235440168,0.08874785235440168,negative
hr_mean,0.08792062568239987,0.08792062568239987,positive
transfused,0.08424005087968874,0.08424005087968874,positive
spo2_mean,-0.0830781116507706,0.0830781116507706,negative
preop_creatinine,0.06785709933723155,0.06785709933723155,positive
icu_wbc,0.0674012711422655,0.0674012711422655,positive
sbp_mean,-0.06203143714386845,0.06203143714386845,negative
icu_lactate,0.05719459777956293,0.05719459777956293,positive
rr_std,0.05313274244539009,0.05313274244539009,positive
spo2_min,-0.05155377143107305,0.05155377143107305,negative
temp_mean,0.05140829031501353,0.05140829031501353,positive
has_diabetes,0.04652735748128389,0.04652735748128389,positive
icu_bilirubin,-0.04568931379513913,0.04568931379513913,negative
rr_mean,0.03788123098939795,0.03788123098939795,positive
preop_wbc,-0.03604592451338868,0.03604592451338868,negative
blood_loss_imputed,-0.030213489802872872,0.030213489802872872,negative
has_hypertension,0.026423962589451074,0.026423962589451074,positive
preop_lactate,0.021527999919520747,0.021527999919520747,positive
hr_std,0.017428352739425727,0.017428352739425727,positive
blood_loss_missing,0.005774928384449136,0.005774928384449136,positive
op_duration_h,-0.0009662999318560611,0.0009662999318560611,negative
