group_col,group_value,n,positives,sensitivity,sensitivity_gap_vs_overall
age_band,65_to_74,240,105,0.780952380952381,-0.0023809523809523725
age_band,75_plus,173,72,0.9027777777777778,0.11944444444444446
age_band,under_65,587,243,0.7489711934156379,-0.03436213991769543
sex,F,469,185,0.8216216216216217,0.03828828828828834
sex,M,531,235,0.7531914893617021,-0.03014184397163122
admission_urgency,elective,766,269,0.6691449814126395,-0.11418835192069388
admission_urgency,emergency,234,151,0.9867549668874173,0.20342163355408394
surgery_type,abdominal,340,128,0.75,-0.033333333333333326
surgery_type,cardiac,202,155,1.0,0.21666666666666667
surgery_type,orthopaedic,250,60,0.25,-0.5333333333333333
surgery_type,vascular,208,77,0.8181818181818182,0.034848484848484906
has_notes,0,336,180,0.8833333333333333,0.09999999999999998
has_notes,1,664,240,0.7083333333333334,-0.07499999999999996
sofa_quartile,q1_lowest,250,70,0.3,-0.48333333333333334
sofa_quartile,q2,250,78,0.6538461538461539,-0.12948717948717947
sofa_quartile,q3,250,120,0.8916666666666667,0.10833333333333339
sofa_quartile,q4_highest,250,152,0.9868421052631579,0.20350877192982453
